gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_00979	241.60289078559927	-2.5198126301666997	0.29368870162347743	-8.579875957901903	9.497550379190041e-18	6.179106276701041e-14
CNAG_06802	20.652413102390643	-2.211162801965962	0.4383674306682556	-5.044085502874206	4.5569550836694425e-7	6.738079494171226e-5
CNAG_00472	12.585392137646632	-1.9170781265755032	0.5104596466994089	-3.755591923810582	1.7293227249284447e-4	0.00715137520075376
CNAG_05962	42.68207565763261	-1.900332106962961	0.35273737209128037	-5.387385225717446	7.149009894073017e-8	1.4534830740887202e-5
CNAG_06662	13.230970086632736	-1.8030480051988267	0.49300222287336404	-3.657281694776395	2.549041959598716e-4	0.009316891566937779
CNAG_05144	48.33237439431249	-1.7706852413437135	0.3494555390017893	-5.066982902607955	4.0417056945200505e-7	6.260794582987488e-5
CNAG_04681	202.32313226979	-1.7005045504366185	0.23388736005623942	-7.2706132987593834	3.57859017627971e-13	5.820576921718948e-10
CNAG_07791	1038.585284131908	-1.6381076214828307	0.48984629763225207	-3.34412575822432	8.254231157740393e-4	0.021741711705368014
CNAG_02194	35.98877098620561	-1.6059473889606184	0.3388857230443444	-4.738905417831587	2.1487576451077295e-6	2.570434727161899e-4
CNAG_01333	14.869607221085733	-1.5981113777829314	0.40815284047665024	-3.915472880004021	9.022718701238429e-5	0.004223151645342246
CNAG_04829	9.609046980598272	-1.5779322222510137	0.48820952949197693	-3.23207993070718	0.0012289267531590874	0.028352473248414972
CNAG_07826	25.192867089582226	-1.5727003373682682	0.3557934315987695	-4.420262426715658	9.85811111601354e-6	8.55158278943788e-4
CNAG_07756	23.96792760080303	-1.5227969984372944	0.3876158744144405	-3.928623926297491	8.543332165447653e-5	0.004101479586031614
CNAG_06335	24.19073346117975	-1.5209529515648774	0.37882081142635937	-4.014966722229679	5.945418284431786e-5	0.0032504950721439665
CNAG_07475	85.79995407926394	-1.4760266172700602	0.21337533195861907	-6.917512927672039	4.596414533992488e-12	3.826298410396505e-9
CNAG_05258	198.18182327898032	-1.4673627094863384	0.31048062920587677	-4.726100669273458	2.2887221606662606e-6	2.6240836922900783e-4
CNAG_05312	57.864008582522715	-1.4612801658736043	0.33392579448428333	-4.376062556444352	1.2084234641995185e-5	0.0010079491100105215
CNAG_07586	585.1894064086979	-1.4530215359652463	0.47295090676806145	-3.0722460094104833	0.002124545513534388	0.04201304896977121
CNAG_03125	27.371783680171703	-1.4334824510113793	0.30635630341706677	-4.6791348342516965	2.8808795127859246e-6	3.23155208796297e-4
CNAG_06517	13.796655059926026	-1.4272445212163378	0.4339779084540573	-3.2887492506255804	0.0010063363524620724	0.024794187235818124
CNAG_03977	33.02150759070204	-1.409524640294067	0.297098699708334	-4.744297574098497	2.09231086709519e-6	2.568410283268171e-4
CNAG_05699	44.30754896962525	-1.3978361408462479	0.3025749565865535	-4.619801177915357	3.841079412848279e-6	3.9666766126969684e-4
CNAG_06298	301.15980655638316	-1.383762745040386	0.262460146533504	-5.272277575535619	1.347410843937385e-7	2.57831027960489e-5
CNAG_00895	35.08896369474974	-1.3600648341304815	0.37558755714321396	-3.621165846055651	2.9327842802077806e-4	0.010189381229652397
CNAG_03007	487.0917749033659	-1.354900609564068	0.21841549146752107	-6.203317358400584	5.52851936064536e-10	2.569181925739908e-7
CNAG_05565	32.637939662131636	-1.351967656267138	0.30973637125038533	-4.364897964063225	1.2718211046877334e-5	0.0010343085133872993
CNAG_02455	34.12627153237679	-1.2988287093525002	0.3622182372971463	-3.585762878877366	3.360942469717155e-4	0.01098808628541699
CNAG_00647	183.51378681670516	-1.2824674238679616	0.1828255544304406	-7.0147055091026695	2.304337927033876e-12	2.9984045106564794e-9
CNAG_06902	59.57323775124938	-1.277032205018568	0.25879643512698214	-4.934504620946475	8.035444333206157e-7	1.0891375173299845e-4
CNAG_02071	120.58282120774506	-1.2727052180772251	0.1881578648007667	-6.764028808600931	1.3420637982772898e-11	8.731467071592047e-9
CNAG_00407	949.5447021764146	-1.2712309398988364	0.1855354449523304	-6.851687774405875	7.298371557514395e-12	5.27591170590985e-9
CNAG_04171	294.68209908645133	-1.252053965378068	0.24083108530842026	-5.198888522943895	2.004837102129796e-7	3.6231861629045706e-5
CNAG_05752	58.39132158217397	-1.240213037627197	0.3090964851883659	-4.012381560635997	6.010923926738154e-5	0.0032589225889465357
CNAG_01255	154.97334952912593	-1.2321900698409154	0.20970681550733547	-5.875775028388688	4.208695785473742e-9	1.3038940371567697e-6
CNAG_06388	145.70115476838194	-1.2316334844388586	0.298041296113749	-4.132425608459303	3.589549615925062e-5	0.0023830214082865768
CNAG_05411	504.6024156223767	-1.229039019025972	0.15160369210555166	-8.106920101723334	5.191897646479582e-16	1.6889243043998081e-12
CNAG_02323	52.882431330744616	-1.2145122954467724	0.30032323457456556	-4.044017097668905	5.254308497682999e-5	0.0030795452837685615
CNAG_03223	378.5480536494503	-1.2123071065936273	0.2173869399405676	-5.576724650179378	2.4508934383415284e-8	5.694825967803566e-6
CNAG_06336	246.07573683264107	-1.2046244061805236	0.17422457453328047	-6.9142048956498705	4.704947322959121e-12	3.826298410396505e-9
CNAG_00890	50.954351775768046	-1.200315493944188	0.32852269584483507	-3.6536760142474614	2.585124294758549e-4	0.009343788145388401
