MLiv3,4HrUp,4HrDown
CNAG_02010,CNAG_06381,CNAG_04546
CNAG_02011,CNAG_06932,CNAG_06554
CNAG_02028,CNAG_02035,CNAG_06203
CNAG_02090,CNAG_02751,CNAG_00110
CNAG_02093,CNAG_05260,CNAG_05835
CNAG_02094,CNAG_01593,CNAG_08023
CNAG_02141,CNAG_06993,CNAG_04454
CNAG_02143,CNAG_03764,CNAG_05974
CNAG_02152,CNAG_04386,CNAG_05731
CNAG_02182,CNAG_03295,CNAG_04307
CNAG_02183,CNAG_01527,CNAG_03438
CNAG_02188,CNAG_03136,CNAG_00919
CNAG_02189,CNAG_01119,CNAG_00247
CNAG_02219,CNAG_04978,CNAG_06016
CNAG_02220,CNAG_02591,CNAG_04857
CNAG_02225,CNAG_00849,CNAG_00979
CNAG_02226,CNAG_01464,CNAG_02297
CNAG_02322,CNAG_04086,CNAG_05190
CNAG_02323,CNAG_02814,CNAG_00251
CNAG_02334,CNAG_03728,CNAG_05539
CNAG_02335,CNAG_07409,CNAG_00332
CNAG_02371,CNAG_07630,CNAG_00126
CNAG_02414,CNAG_06194,CNAG_01389
CNAG_02415,CNAG_06401,CNAG_02729
CNAG_02435,,CNAG_07330
CNAG_02475,,CNAG_05265
CNAG_02553,,CNAG_00321
CNAG_02554,,CNAG_00264
CNAG_02657,,CNAG_04625
CNAG_02658,,CNAG_01138
CNAG_02682,,CNAG_06658
CNAG_02683,,CNAG_05346
CNAG_02684,,CNAG_02170
CNAG_02685,,CNAG_00908
CNAG_02697,,CNAG_03117
CNAG_02777,,CNAG_07442
CNAG_02796,,CNAG_05742
CNAG_02797,,CNAG_03320
CNAG_02830,,CNAG_03461
CNAG_02850,,CNAG_03384
CNAG_02965,,CNAG_05345
CNAG_02966,,CNAG_01796
CNAG_03011,,CNAG_02822
CNAG_03012,,CNAG_06657
CNAG_03013,,CNAG_07695
CNAG_03014,,CNAG_00581
CNAG_03061,,CNAG_07937
CNAG_03136,,CNAG_06832
CNAG_03142,,CNAG_01742
CNAG_03143,,CNAG_05803
CNAG_03161,,CNAG_05281
CNAG_03177,,CNAG_05154
CNAG_03178,,CNAG_06424
CNAG_03223,,CNAG_02194
CNAG_03246,,CNAG_03727
CNAG_03247,,CNAG_04866
CNAG_03279,,CNAG_07799
CNAG_03280,,CNAG_04283
CNAG_03295,,CNAG_05238
CNAG_03333,,CNAG_02797
CNAG_03335,,CNAG_02600
CNAG_03346,,CNAG_05813
CNAG_03433,,CNAG_05277
CNAG_03438,,CNAG_00303
CNAG_03454,,CNAG_06017
CNAG_03455,,CNAG_01165
CNAG_03485,,CNAG_01592
CNAG_03572,,CNAG_06651
CNAG_03676,,CNAG_04888
CNAG_03677,,CNAG_01193
CNAG_03705,,CNAG_04623
CNAG_03716,,CNAG_07807
CNAG_03727,,CNAG_01335
CNAG_03772,,CNAG_00374
CNAG_03841,,CNAG_04861
CNAG_03859,,CNAG_02455
CNAG_03910,,CNAG_02531
CNAG_03911,,CNAG_05193
CNAG_03912,,CNAG_03500
CNAG_03914,,CNAG_05060
CNAG_03915,,CNAG_05853
CNAG_04024,,CNAG_05302
CNAG_04025,,CNAG_02095
CNAG_04059,,CNAG_06422
CNAG_04077,,CNAG_06163
CNAG_04078,,CNAG_06493
CNAG_04101,,CNAG_05663
CNAG_04102,,CNAG_04416
CNAG_04103,,CNAG_00053
CNAG_04104,,CNAG_02063
CNAG_04139,,CNAG_05812
CNAG_04140,,CNAG_00675
CNAG_04141,,CNAG_02658
CNAG_04176,,CNAG_03413
CNAG_04185,,CNAG_07440
CNAG_04213,,CNAG_05962
CNAG_04215,,CNAG_00331
CNAG_04270,,CNAG_01982
CNAG_04271,,CNAG_00128
CNAG_04436,,CNAG_05724
CNAG_04505,,CNAG_06162
CNAG_04517,,CNAG_03600
CNAG_04518,,CNAG_03172
CNAG_04524,,CNAG_04227
CNAG_04525,,CNAG_04398
CNAG_04575,,CNAG_04768
CNAG_04576,,CNAG_06835
CNAG_04586,,CNAG_03381
CNAG_04587,,CNAG_00794
CNAG_04623,,CNAG_04213
CNAG_04632,,CNAG_06150
CNAG_04658,,CNAG_07466
CNAG_04659,,CNAG_01865
CNAG_04681,,CNAG_06780
CNAG_04691,,CNAG_05752
CNAG_04692,,CNAG_06758
CNAG_04704,,CNAG_00419
CNAG_04737,,CNAG_07663
CNAG_04752,,CNAG_00907
CNAG_04753,,CNAG_00879
CNAG_04756,,CNAG_06310
CNAG_04774,,CNAG_01318
CNAG_04836,,CNAG_00539
CNAG_04837,,CNAG_03841
CNAG_04860,,CNAG_03733
CNAG_04864,,CNAG_02983
CNAG_04891,,CNAG_04154
CNAG_04892,,CNAG_04042
CNAG_04907,,CNAG_04949
CNAG_04908,,CNAG_06276
CNAG_04909,,CNAG_06606
CNAG_04920,,CNAG_03308
CNAG_04921,,CNAG_07779
CNAG_04969,,CNAG_02678
CNAG_04970,,CNAG_04373
CNAG_04990,,CNAG_02851
CNAG_04991,,CNAG_01081
CNAG_04992,,CNAG_01690
CNAG_05009,,CNAG_00397
CNAG_05076,,
CNAG_05077,,
CNAG_05138,,
CNAG_05144,,
CNAG_05159,,
CNAG_05170,,
CNAG_05181,,
CNAG_05221,,
CNAG_05222,,
CNAG_05229,,
CNAG_05290,,
CNAG_05312,,
CNAG_05313,,
CNAG_05340,,
CNAG_05341,,
CNAG_05375,,
CNAG_05381,,
CNAG_05387,,
CNAG_05420,,
CNAG_05449,,
CNAG_05515,,
CNAG_05638,,
CNAG_05639,,
CNAG_05641,,
CNAG_05661,,
CNAG_05662,,
CNAG_05684,,
CNAG_05685,,
CNAG_05696,,
CNAG_05697,,
CNAG_05785,,
CNAG_05833,,
CNAG_05835,,
CNAG_05836,,
CNAG_05864,,
CNAG_05867,,
CNAG_05872,,
CNAG_05939,,
CNAG_05940,,
CNAG_06074,,
CNAG_06081,,
CNAG_06104,,
CNAG_06172,,
CNAG_06190,,
CNAG_06191,,
CNAG_06200,,
CNAG_06201,,
CNAG_06208,,
CNAG_06241,,
CNAG_06242,,
CNAG_06282,,
CNAG_06291,,
CNAG_06336,,
CNAG_06346,,
CNAG_06347,,
CNAG_06427,,
CNAG_06428,,
CNAG_06493,,
CNAG_06534,,
CNAG_06541,,
CNAG_06594,,
CNAG_06595,,
CNAG_06668,,
CNAG_06669,,
CNAG_06698,,
CNAG_06699,,
CNAG_06760,,
CNAG_06761,,
CNAG_06762,,
CNAG_06763,,
CNAG_06835,,
CNAG_06836,,
CNAG_06897,,
CNAG_06923,,
CNAG_06963,,
CNAG_07380,,
CNAG_07415,,
CNAG_07422,,
CNAG_07448,,
CNAG_07491,,
CNAG_07512,,
CNAG_07523,,
CNAG_07540,,
CNAG_07548,,
CNAG_07549,,
CNAG_07598,,
CNAG_07626,,
CNAG_07631,,
CNAG_07633,,
CNAG_07641,,
CNAG_07690,,
CNAG_07691,,
CNAG_07692,,
CNAG_07770,,
CNAG_07827,,
CNAG_07847,,
CNAG_07869,,
CNAG_07874,,
CNAG_07876,,
CNAG_07902,,
CNAG_07917,,
CNAG_07955,,
CNAG_07965,,
CNAG_07984,,
CNAG_12011,,
CNAG_12032,,
CNAG_12058,,
CNAG_12064,,
CNAG_12074,,
CNAG_12093,,
CNAG_12099,,
CNAG_12113,,
CNAG_12116,,
CNAG_12154,,
CNAG_12157,,
CNAG_12161,,
CNAG_12185,,
CNAG_12187,,
CNAG_12204,,
CNAG_12214,,
CNAG_12219,,
CNAG_12227,,
CNAG_12229,,
CNAG_12281,,
CNAG_12320,,
CNAG_12324,,
CNAG_12332,,
CNAG_12347,,
CNAG_12351,,
CNAG_12352,,
CNAG_12370,,
CNAG_12381,,
CNAG_12383,,
CNAG_12431,,
CNAG_12450,,
CNAG_12456,,
CNAG_12459,,
CNAG_12474,,
CNAG_12504,,
CNAG_12544,,
CNAG_12558,,
CNAG_12560,,
CNAG_12598,,
CNAG_12615,,
CNAG_12622,,
CNAG_12655,,
CNAG_12661,,
CNAG_12666,,
CNAG_12688,,
CNAG_12690,,
CNAG_12710,,
CNAG_12722,,
CNAG_12730,,
CNAG_12739,,
CNAG_12742,,
CNAG_12752,,
CNAG_12756,,
CNAG_12757,,
CNAG_12770,,
CNAG_12802,,
CNAG_12818,,
CNAG_12819,,
CNAG_12820,,
CNAG_12826,,
CNAG_12869,,
CNAG_12900,,
CNAG_12905,,
CNAG_12917,,
CNAG_12989,,
CNAG_12994,,
CNAG_13041,,
CNAG_13070,,
CNAG_13079,,
CNAG_13107,,
CNAG_13116,,
CNAG_13120,,
CNAG_13122,,
CNAG_13168,,
