"","x"
"1",1276
"2",1359
"3",6022
"4",5519
"5",6153
"6",6284
"7",6018
"8",6150
"9",6165
"10",6281
"11",4321
"12",384
"13",6021
"14",6110
"15",6794
"16",6023
"17",2391
"18",4324
"19",6002
"20",6019
"21",5257
"22",5182
"23",3820
"24",1222
"25",6686
"26",6024
"27",5650
"28",2645
"29",265
"30",3002
"31",3107
"32",501
"33",6017
"34",6020
"35",5547
"36",5609
"37",5518
"38",1667
"39",1709
"40",6774
"41",6787
"42",6280
"43",2843
"44",2737
"45",4693
"46",5212
"47",5308
"48",653
"49",814
"50",4622
"51",4702
"52",3181
"53",1749
"54",349
"55",4008
"56",5951
"57",4963
"58",1370
"59",6009
"60",3104
"61",1347
"62",576
"63",2073
"64",246
"65",782
"66",4731
"67",6750
"68",5481
"69",4703
"70",5697
"71",1928
"72",5980
"73",4841
"74",4012
"75",839
"76",390
"77",770
"78",4772
"79",4989
"80",5850
"81",1772
"82",1437
"83",6655
"84",4649
"85",3150
"86",1752
"87",1332
"88",6282
"89",1965
"90",5436
"91",5256
"92",5470
"93",2765
"94",1475
"95",662
"96",5583
"97",556
"98",4950
"99",818
"100",3391
"101",114
"102",6025
"103",510
"104",1372
"105",1368
"106",891
"107",2570
"108",5780
"109",2433
"110",5608
"111",2058
"112",5018
"113",914
"114",3394
"115",974
"116",5820
"117",1765
"118",310
"119",1572
"120",2206
"121",6648
"122",5924
"123",5292
"124",2087
"125",6753
"126",4210
"127",6166
"128",1280
"129",3775
"130",3289
"131",4087
"132",3733
"133",5884
"134",494
"135",5309
"136",4089
"137",633
"138",5689
"139",5811
"140",3662
"141",2520
"142",134
"143",1407
"144",6314
"145",5542
"146",3275
"147",4489
"148",5255
"149",540
"150",1341
"151",98
"152",4654
"153",2085
"154",2171
"155",2246
"156",6548
"157",1458
"158",3804
"159",2692
"160",2953
"161",3236
"162",338
"163",6444
"164",5450
"165",313
"166",1046
"167",459
"168",1737
"169",5281
"170",3927
"171",3702
"172",6016
"173",5722
"174",4190
"175",6585
"176",5976
"177",480
"178",1329
"179",3210
"180",68
"181",4313
"182",4133
"183",741
"184",6715
"185",1594
"186",2657
"187",4118
"188",2188
"189",6658
"190",1125
"191",3436
"192",4286
"193",1277
"194",4212
"195",2229
"196",2207
"197",6275
"198",330
"199",1567
"200",213
"201",2934
"202",2212
"203",3381
"204",3039
"205",1190
"206",5209
"207",2033
"208",2587
"209",6716
"210",5539
"211",5254
"212",992
"213",6279
"214",3019
"215",2488
"216",5340
"217",5082
"218",4258
"219",6645
"220",1105
"221",5738
"222",5885
"223",2877
"224",4538
"225",2191
"226",1373
"227",815
"228",1408
"229",5755
"230",6355
"231",3062
"232",3858
"233",3558
"234",5756
"235",2470
"236",6014
"237",1521
"238",1018
"239",3822
"240",5759
"241",3006
"242",6008
"243",2009
"244",421
"245",392
"246",3267
"247",4396
"248",6034
"249",6116
"250",6222
