gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_01560	63.62713765163224	3.0211543162388343	0.5878415297430406	5.139402650846143	2.7561323479762747e-7	1.582440394706717e-5
CNAG_03609	80.61202137092268	2.7709834414742898	0.8805659378184989	3.146821064120517	0.0016505593787340812	0.013526037430748868
CNAG_04103	102.38159690816487	2.6941781198345494	0.3074030299863186	8.764318685975404	1.879095801718031e-18	1.1573521869672418e-15
CNAG_02729	45.74036508149147	1.935767530788314	0.7092927185009787	2.7291518442193663	0.006349745856018933	0.03714985161876362
CNAG_01524	177.63027771509718	1.8003507130993928	0.35976419895531175	5.004252002637494	5.607935592017878e-7	2.7732674186803743e-5
CNAG_06659	64.54497080984045	1.7702150623174409	0.2133718053495074	8.296386954301635	1.0732555333074535e-16	4.847537492105332e-14
CNAG_01571	246.79323519447527	1.757404617636977	0.48152242586435223	3.6496838428290537	2.6256326946809356e-4	0.0033883164774215885
CNAG_00321	75.3321168419859	1.7068805380730818	0.6329105648385253	2.6968747764679186	0.006999358585439186	0.04002993211487659
CNAG_00588	267.9466384975247	1.6793403503754667	0.24584217242259135	6.83096937285747	8.434274068683367e-12	1.2986865185302229e-9
CNAG_04104	141.43025380978264	1.6546618066432037	0.25376055577055046	6.5205634564394	7.004376634357188e-11	8.953707867503764e-9
CNAG_01541	3.7836987490614074	1.6374642305750025	0.612923866395682	2.6715621961405454	0.007549907962801543	0.04209928102714441
CNAG_06190	282.30236805155505	1.5756158262883633	0.20109938281460057	7.835010750584798	4.688025957194062e-15	1.3809293852169465e-12
CNAG_01621	12851.44288283577	1.566622987460801	0.3365723287688778	4.65463989030599	3.2454742887109965e-6	1.1467479231780168e-4
CNAG_01275	70.78330857830203	1.5406382692667626	0.2238200051621504	6.8833805456783	5.844861262805659e-12	9.899733763877085e-10
CNAG_06098	162.77660013864397	1.5305494699347928	0.19405218366972482	7.887308666104861	3.0877303416071157e-15	9.508805938358277e-13
CNAG_01607	122.6059605149891	1.4393905542535983	0.3938217797488561	3.6549287730391935	2.572533890111879e-4	0.0033581728526990325
CNAG_03199	38.682226729094985	1.389579237956611	0.31447768486105193	4.4186894805288945	9.930119868673543e-6	2.594145008725844e-4
CNAG_06485	48.280853107206816	1.3380805345840712	0.268582199258671	4.982014959581772	6.292556888744335e-7	3.089280646466875e-5
CNAG_04475	89.88171591659824	1.3375701205437895	0.20436369448437308	6.5450476608313055	5.947641461198094e-11	7.749090557618671e-9
CNAG_00540	24.565517154969562	1.3329371641909236	0.44333195707307615	3.0066345160207124	0.0026415715136347026	0.019202410949436814
CNAG_03346	1053.2938664115902	1.301602345855165	0.1364633150319414	9.538111730251494	1.4545655506403084e-21	1.6424469342646816e-18
CNAG_04978	171.66630082073704	1.2973993344377903	0.15887504528169494	8.166161854666502	3.1835607737286774e-16	1.1982569023339884e-13
CNAG_01525	33.49586275834206	1.2923858275753939	0.3682389710375675	3.5096389280415017	4.487155762462155e-4	0.005033192101106142
CNAG_06347	1596.8727076589053	1.2431572739458865	0.44907674723501917	2.768251265735864	0.005635798679818733	0.03375997882915289
CNAG_07594	281.5204768509353	1.2279885462080906	0.26064447872925983	4.711354532407508	2.4607571585952385e-6	9.21459359978306e-5
CNAG_00442	1110.4497421356007	1.1858847081526247	0.14380356769780522	8.246559714322888	1.6301969252492844e-16	6.496814216802295e-14
CNAG_03087	11.176810810161921	1.1802965568658945	0.4184902344747218	2.820368218023946	0.004796857151506928	0.029952725531299025
CNAG_07755	61.72673762788957	1.1497534663572795	0.30125179361926174	3.816586293293244	1.3531076560993022e-4	0.002078753825413327
CNAG_00161	165.1765619307693	1.146484733572255	0.17874114808773725	6.4142182471016085	1.4154730900202787e-10	1.7124696758727478e-8
CNAG_00765	170.5095480990508	1.1292980853662278	0.20780917361299148	5.434303335758168	5.501093122002409e-8	3.964883606549609e-6
CNAG_06470	118.26764585350895	1.1275450037845802	0.42686480237280877	2.6414569613538244	0.008255029470229328	0.04493926810658615
CNAG_05315	40.33263150278568	1.1096615594335937	0.23976364541078626	4.6281476807395645	3.68950885721308e-6	1.2561016335486743e-4
